Episodes,Status,Studios,Genres,Ratings,Scores,Rank,Popularity,Members,Favorites,titles,SP
25,Finished Airing,Wit Studio,"Action, Drama",R - 17+ (violence & profanity),8.53,100,1,"3,510,395","155,195",Shingeki no Kyojin,"['Crunchyroll', 'Funimation']"
37,Finished Airing,Madhouse,"Supernatural, Suspense",R - 17+ (violence & profanity),8.62,73,2,"3,491,046","159,080",Death Note,"['Crunchyroll', 'Funimation']"
64,Finished Airing,Bones,"Action, Adventure, Drama, Fantasy",R - 17+ (violence & profanity),9.13,1,3,"2,966,462","206,903",Fullmetal Alchemist: Brotherhood,"['Crunchyroll', 'Funimation']"
12,Finished Airing,Madhouse,"Action, Comedy",R - 17+ (violence & profanity),8.51,110,4,"2,868,306","59,353",One Punch Man,"['Crunchyroll', 'Funimation']"
25,Finished Airing,A-1 Pictures,"Action, Adventure, Fantasy, Romance",PG-13 - Teens 13 or older,7.20,3018,5,"2,805,024","64,861",Sword Art Online,"['Crunchyroll', 'Funimation']"
13,Finished Airing,Bones,Genre: Action,PG-13 - Teens 13 or older,7.92,670,6,"2,698,039","52,063",Boku no Hero Academia,"['Crunchyroll', 'Funimation']"
12,Finished Airing,Pierrot,"Action, Fantasy, Horror",R - 17+ (violence & profanity),7.79,912,7,"2,547,096","47,252",Tokyo Ghoul,"['Crunchyroll', 'Funimation']"
220,Finished Airing,Pierrot,"Action, Adventure, Fantasy",PG-13 - Teens 13 or older,7.97,605,8,"2,546,671","71,501",Naruto,"['Crunchyroll', 'Funimation']"
26,Finished Airing,ufotable,"Action, Fantasy",R - 17+ (violence & profanity),8.54,96,9,"2,534,543","82,761",Kimetsu no Yaiba,"['Crunchyroll', 'Funimation']"
148,Finished Airing,Madhouse,"Action, Adventure, Fantasy",PG-13 - Teens 13 or older,9.04,9,10,"2,451,264","187,689",Hunter x Hunter (2011),"['Crunchyroll', 'Netflix']"
1,Finished Airing,CoMix Wave Films,"Drama, Supernatural",PG-13 - Teens 13 or older,8.86,22,11,"2,419,574","83,196",Kimi no Na wa.,['Netflix']
12,Finished Airing,Wit Studio,"Action, Drama",R - 17+ (violence & profanity),8.50,118,12,"2,384,824","20,076",Shingeki no Kyojin Season 2,"['Crunchyroll', 'Netflix']"
24,Finished Airing,White Fox,"Drama, Sci-Fi, Suspense",PG-13 - Teens 13 or older,9.08,4,13,"2,291,234","174,629",Steins;Gate,"['Crunchyroll', 'Funimation']"
25,Finished Airing,Bones,Genre: Action,PG-13 - Teens 13 or older,8.14,387,14,"2,260,075","17,138",Boku no Hero Academia 2nd Season,"['Crunchyroll', 'Netflix']"
12,Finished Airing,Madhouse,"Comedy, Fantasy, Ecchi",PG-13 - Teens 13 or older,8.10,440,15,"2,194,196","46,605",No Game No Life,"['HIDIVE', 'Netflix']"
500,Finished Airing,Pierrot,"Action, Adventure, Fantasy",PG-13 - Teens 13 or older,8.24,288,16,"2,177,917","100,263",Naruto: Shippuuden,"['Crunchyroll', 'Netflix']"
25,Finished Airing,Sunrise,"Action, Drama, Sci-Fi",R - 17+ (violence & profanity),8.70,49,17,"2,033,724","101,043",Code Geass: Hangyaku no Lelouch,"['Crunchyroll', 'Funimation']"
12,Finished Airing,Wit Studio,"Action, Drama",R - 17+ (violence & profanity),8.62,71,18,"2,029,345","18,850",Shingeki no Kyojin Season 3,"['Crunchyroll', 'Netflix']"
1,Finished Airing,Kyoto Animation,Genre: Drama,PG-13 - Teens 13 or older,8.95,15,19,"2,027,446","78,359",Koe no Katachi,['Netflix']
25,Finished Airing,J.C.Staff,"Drama, Romance",PG-13 - Teens 13 or older,8.10,443,20,"2,015,316","53,899",Toradora!,"['Crunchyroll', 'Funimation']"
22,Finished Airing,A-1 Pictures,"Drama, Romance",PG-13 - Teens 13 or older,8.66,59,21,"1,982,520","80,525",Shigatsu wa Kimi no Uso,"['Crunchyroll', 'Funimation']"
12,Finished Airing,Bones,"Action, Fantasy",PG-13 - Teens 13 or older,7.96,612,22,"1,972,399","31,527",Noragami,"['Crunchyroll', 'Funimation']"
25,Finished Airing,White Fox,"Drama, Fantasy, Suspense",R - 17+ (violence & profanity),8.24,291,23,"1,968,351","62,125",Re:Zero kara Hajimeru Isekai Seikatsu,"['Crunchyroll', 'Netflix']"
24,Finished Airing,MAPPA,"Action, Fantasy",R - 17+ (violence & profanity),8.67,52,24,"1,965,267","73,477",Jujutsu Kaisen,"['Crunchyroll', 'Funimation']"
Unknown,Currently Airing,Toei Animation,"Action, Adventure, Fantasy",PG-13 - Teens 13 or older,8.66,58,25,"1,954,404","175,917",One Piece,"['Crunchyroll', 'Funimation']"
25,Finished Airing,Bones,Genre: Action,PG-13 - Teens 13 or older,8.07,476,26,"1,944,228","12,718",Boku no Hero Academia 3rd Season,"['Crunchyroll', 'Netflix']"
13,Finished Airing,P.A. Works,"Drama, Supernatural",PG-13 - Teens 13 or older,8.07,475,27,"1,930,344","46,577",Angel Beats!,"['Crunchyroll', 'Funimation']"
10,Finished Airing,Wit Studio,"Action, Drama",R - 17+ (violence & profanity),9.07,5,28,"1,911,557","52,386",Shingeki no Kyojin Season 3 Part 2,"['Crunchyroll', 'Netflix']"
24,Finished Airing,White Fox,"Action, Fantasy",R - 17+ (violence & profanity),7.47,1762,29,"1,884,163","26,791",Akame ga Kill!,"['Crunchyroll', 'HIDIVE']"
24,Finished Airing,A-1 Pictures,"Action, Adventure, Fantasy",PG-13 - Teens 13 or older,7.70,1104,30,"1,872,556","18,935",Nanatsu no Taizai,['Netflix']
12,Finished Airing,A-1 Pictures,Genre: Mystery,R - 17+ (violence & profanity),8.31,228,31,"1,872,181","44,389",Boku dake ga Inai Machi,"['Crunchyroll', 'Funimation']"
26,Finished Airing,asread.,"Action, Supernatural, Suspense",R+ - Mild Nudity,7.44,1865,32,"1,863,200","29,493",Mirai Nikki (TV),"['Crunchyroll', 'Funimation']"
24,Finished Airing,A-1 Pictures,"Action, Adventure, Fantasy, Romance",PG-13 - Teens 13 or older,6.70,5334,33,"1,808,440","9,058",Sword Art Online II,"['Crunchyroll', 'Netflix']"
22,Finished Airing,Lerche,"Action, Comedy",PG-13 - Teens 13 or older,8.10,434,34,"1,784,589","27,377",Ansatsu Kyoushitsu,"['Crunchyroll', 'Funimation']"
12,Finished Airing,Bones,"Action, Comedy, Supernatural",PG-13 - Teens 13 or older,8.48,125,35,"1,784,438","40,405",Mob Psycho 100,"['Crunchyroll', 'Funimation']"
25,Finished Airing,A-1 Pictures,"Action, Fantasy",PG-13 - Teens 13 or older,7.51,1653,36,"1,769,129","16,231",Ao no Exorcist,"['Crunchyroll', 'Funimation']"
25,Finished Airing,Production I.G,Genre: Sports,PG-13 - Teens 13 or older,8.45,140,37,"1,743,281","67,754",Haikyuu!!,"['Crunchyroll', 'Netflix']"
10,Finished Airing,Studio Deen,"Adventure, Comedy, Fantasy",PG-13 - Teens 13 or older,8.12,414,38,"1,740,616","41,638",Kono Subarashii Sekai ni Shukufuku wo!,"['Crunchyroll', 'Netflix']"
