Episodes,Status,Ratings,Scores,Rank,Popularity,Members,Favorites,titles,Genre,Studio
25,Finished Airing,R - 17+ (violence & profanity),8.53,103,1,3447536,152953,Shingeki no Kyojin,Action,WitStudio
25,Finished Airing,R - 17+ (violence & profanity),8.53,103,1,3447536,152953,Shingeki no Kyojin,Drama,WitStudio
37,Finished Airing,R - 17+ (violence & profanity),8.62,74,2,3429935,156278,Death Note,Supernatural,Madhouse
37,Finished Airing,R - 17+ (violence & profanity),8.62,74,2,3429935,156278,Death Note,Suspense,Madhouse
64,Finished Airing,R - 17+ (violence & profanity),9.14,2,3,2908558,203272,Fullmetal Alchemist: Brotherhood,Action,Bones
64,Finished Airing,R - 17+ (violence & profanity),9.14,2,3,2908558,203272,Fullmetal Alchemist: Brotherhood,Adventure,Bones
64,Finished Airing,R - 17+ (violence & profanity),9.14,2,3,2908558,203272,Fullmetal Alchemist: Brotherhood,Drama,Bones
64,Finished Airing,R - 17+ (violence & profanity),9.14,2,3,2908558,203272,Fullmetal Alchemist: Brotherhood,Fantasy,Bones
12,Finished Airing,R - 17+ (violence & profanity),8.51,112,4,2815068,58188,One Punch Man,Action,Madhouse
12,Finished Airing,R - 17+ (violence & profanity),8.51,112,4,2815068,58188,One Punch Man,Comedy,Madhouse
25,Finished Airing,PG-13 - Teens 13 or older,7.2,3016,5,2765006,64200,Sword Art Online,Action,A-1Pictures
25,Finished Airing,PG-13 - Teens 13 or older,7.2,3016,5,2765006,64200,Sword Art Online,Adventure,A-1Pictures
25,Finished Airing,PG-13 - Teens 13 or older,7.2,3016,5,2765006,64200,Sword Art Online,Fantasy,A-1Pictures
25,Finished Airing,PG-13 - Teens 13 or older,7.2,3016,5,2765006,64200,Sword Art Online,Romance,A-1Pictures
13,Finished Airing,PG-13 - Teens 13 or older,7.93,662,6,2649214,51768,Boku no Hero Academia,Action,Bones
12,Finished Airing,R - 17+ (violence & profanity),7.79,900,7,2504931,46652,Tokyo Ghoul,Action,Pierrot
12,Finished Airing,R - 17+ (violence & profanity),7.79,900,7,2504931,46652,Tokyo Ghoul,Fantasy,Pierrot
12,Finished Airing,R - 17+ (violence & profanity),7.79,900,7,2504931,46652,Tokyo Ghoul,Horror,Pierrot
220,Finished Airing,PG-13 - Teens 13 or older,7.97,598,8,2500413,70215,Naruto,Action,Pierrot
220,Finished Airing,PG-13 - Teens 13 or older,7.97,598,8,2500413,70215,Naruto,Adventure,Pierrot
220,Finished Airing,PG-13 - Teens 13 or older,7.97,598,8,2500413,70215,Naruto,Fantasy,Pierrot
26,Finished Airing,R - 17+ (violence & profanity),8.54,100,9,2462053,81087,Kimetsu no Yaiba,Action,ufotable
26,Finished Airing,R - 17+ (violence & profanity),8.54,100,9,2462053,81087,Kimetsu no Yaiba,Fantasy,ufotable
148,Finished Airing,PG-13 - Teens 13 or older,9.05,7,10,2395882,183415,Hunter x Hunter (2011),Action,Madhouse
148,Finished Airing,PG-13 - Teens 13 or older,9.05,7,10,2395882,183415,Hunter x Hunter (2011),Action,StudioLive
148,Finished Airing,PG-13 - Teens 13 or older,9.05,7,10,2395882,183415,Hunter x Hunter (2011),Adventure,Madhouse
148,Finished Airing,PG-13 - Teens 13 or older,9.05,7,10,2395882,183415,Hunter x Hunter (2011),Adventure,StudioLive
148,Finished Airing,PG-13 - Teens 13 or older,9.05,7,10,2395882,183415,Hunter x Hunter (2011),Fantasy,Madhouse
148,Finished Airing,PG-13 - Teens 13 or older,9.05,7,10,2395882,183415,Hunter x Hunter (2011),Fantasy,StudioLive
1,Finished Airing,PG-13 - Teens 13 or older,8.86,24,11,2373353,82000,Kimi no Na wa.,Drama,CoMixWaveFilms
1,Finished Airing,PG-13 - Teens 13 or older,8.86,24,11,2373353,82000,Kimi no Na wa.,Supernatural,CoMixWaveFilms
12,Finished Airing,R - 17+ (violence & profanity),8.5,114,12,2335173,19852,Shingeki no Kyojin Season 2,Action,WitStudio
12,Finished Airing,R - 17+ (violence & profanity),8.5,114,12,2335173,19852,Shingeki no Kyojin Season 2,Drama,WitStudio
24,Finished Airing,PG-13 - Teens 13 or older,9.08,4,13,2253817,171977,Steins;Gate,Drama,WhiteFox
24,Finished Airing,PG-13 - Teens 13 or older,9.08,4,13,2253817,171977,Steins;Gate,Sci-Fi,WhiteFox
24,Finished Airing,PG-13 - Teens 13 or older,9.08,4,13,2253817,171977,Steins;Gate,Suspense,WhiteFox
25,Finished Airing,PG-13 - Teens 13 or older,8.15,374,14,2220781,17119,Boku no Hero Academia 2nd Season,Action,Bones
12,Finished Airing,PG-13 - Teens 13 or older,8.11,425,15,2164226,46245,No Game No Life,Comedy,Madhouse
12,Finished Airing,PG-13 - Teens 13 or older,8.11,425,15,2164226,46245,No Game No Life,Fantasy,Madhouse
12,Finished Airing,PG-13 - Teens 13 or older,8.11,425,15,2164226,46245,No Game No Life,Ecchi,Madhouse
500,Finished Airing,PG-13 - Teens 13 or older,8.24,284,16,2132766,98047,Naruto: Shippuuden,Action,Pierrot
500,Finished Airing,PG-13 - Teens 13 or older,8.24,284,16,2132766,98047,Naruto: Shippuuden,Adventure,Pierrot
500,Finished Airing,PG-13 - Teens 13 or older,8.24,284,16,2132766,98047,Naruto: Shippuuden,Fantasy,Pierrot
25,Finished Airing,R - 17+ (violence & profanity),8.7,48,17,2000328,99616,Code Geass: Hangyaku no Lelouch,Action,Sunrise
25,Finished Airing,R - 17+ (violence & profanity),8.7,48,17,2000328,99616,Code Geass: Hangyaku no Lelouch,Drama,Sunrise
25,Finished Airing,R - 17+ (violence & profanity),8.7,48,17,2000328,99616,Code Geass: Hangyaku no Lelouch,Sci-Fi,Sunrise
25,Finished Airing,PG-13 - Teens 13 or older,8.11,431,18,1985431,53339,Toradora!,Drama,J.C.Staff
25,Finished Airing,PG-13 - Teens 13 or older,8.11,431,18,1985431,53339,Toradora!,Romance,J.C.Staff
1,Finished Airing,PG-13 - Teens 13 or older,8.95,15,19,1982571,76727,Koe no Katachi,Drama,KyotoAnimation
12,Finished Airing,R - 17+ (violence & profanity),8.62,72,20,1979409,18577,Shingeki no Kyojin Season 3,Action,WitStudio
12,Finished Airing,R - 17+ (violence & profanity),8.62,72,20,1979409,18577,Shingeki no Kyojin Season 3,Drama,WitStudio
22,Finished Airing,PG-13 - Teens 13 or older,8.66,61,21,1947930,79409,Shigatsu wa Kimi no Uso,Drama,A-1Pictures
22,Finished Airing,PG-13 - Teens 13 or older,8.66,61,21,1947930,79409,Shigatsu wa Kimi no Uso,Romance,A-1Pictures
12,Finished Airing,PG-13 - Teens 13 or older,7.96,619,22,1943572,31166,Noragami,Action,Bones
12,Finished Airing,PG-13 - Teens 13 or older,7.96,619,22,1943572,31166,Noragami,Fantasy,Bones
25,Finished Airing,R - 17+ (violence & profanity),8.25,271,23,1935192,61337,Re:Zero kara Hajimeru Isekai Seikatsu,Drama,WhiteFox
25,Finished Airing,R - 17+ (violence & profanity),8.25,271,23,1935192,61337,Re:Zero kara Hajimeru Isekai Seikatsu,Fantasy,WhiteFox
