Episodes,Status,Ratings,Scores,Rank,Popularity,Members,Favorites,titles,SP,Genre,Studio
25,Finished Airing,R - 17+ (violence & profanity),8.53,100,1,3510395,155195,Shingeki no Kyojin,"['crunchyroll', 'funimation']","['action', 'drama']",['witstudio']
37,Finished Airing,R - 17+ (violence & profanity),8.62,73,2,3491046,159080,Death Note,"['crunchyroll', 'funimation']","['supernatural', 'suspense']",['madhouse']
64,Finished Airing,R - 17+ (violence & profanity),9.13,1,3,2966462,206903,Fullmetal Alchemist: Brotherhood,"['crunchyroll', 'funimation']","['action', 'adventure', 'drama', 'fantasy']",['bones']
12,Finished Airing,R - 17+ (violence & profanity),8.51,110,4,2868306,59353,One Punch Man,"['crunchyroll', 'funimation']","['action', 'comedy']",['madhouse']
25,Finished Airing,PG-13 - Teens 13 or older,7.2,3018,5,2805024,64861,Sword Art Online,"['crunchyroll', 'funimation']","['action', 'adventure', 'fantasy', 'romance']",['a-1pictures']
13,Finished Airing,PG-13 - Teens 13 or older,7.92,670,6,2698039,52063,Boku no Hero Academia,"['crunchyroll', 'funimation']",['genre:action'],['bones']
12,Finished Airing,R - 17+ (violence & profanity),7.79,912,7,2547096,47252,Tokyo Ghoul,"['crunchyroll', 'funimation']","['action', 'fantasy', 'horror']",['pierrot']
220,Finished Airing,PG-13 - Teens 13 or older,7.97,605,8,2546671,71501,Naruto,"['crunchyroll', 'funimation']","['action', 'adventure', 'fantasy']",['pierrot']
26,Finished Airing,R - 17+ (violence & profanity),8.54,96,9,2534543,82761,Kimetsu no Yaiba,"['crunchyroll', 'funimation']","['action', 'fantasy']",['ufotable']
148,Finished Airing,PG-13 - Teens 13 or older,9.04,9,10,2451264,187689,Hunter x Hunter (2011),"['crunchyroll', 'netflix']","['action', 'adventure', 'fantasy']",['madhouse']
1,Finished Airing,PG-13 - Teens 13 or older,8.86,22,11,2419574,83196,Kimi no Na wa.,['netflix'],"['drama', 'supernatural']",['comixwavefilms']
12,Finished Airing,R - 17+ (violence & profanity),8.5,118,12,2384824,20076,Shingeki no Kyojin Season 2,"['crunchyroll', 'netflix']","['action', 'drama']",['witstudio']
24,Finished Airing,PG-13 - Teens 13 or older,9.08,4,13,2291234,174629,Steins;Gate,"['crunchyroll', 'funimation']","['drama', 'sci-fi', 'suspense']",['whitefox']
25,Finished Airing,PG-13 - Teens 13 or older,8.14,387,14,2260075,17138,Boku no Hero Academia 2nd Season,"['crunchyroll', 'netflix']",['genre:action'],['bones']
12,Finished Airing,PG-13 - Teens 13 or older,8.1,440,15,2194196,46605,No Game No Life,"['hidive', 'netflix']","['comedy', 'fantasy', 'ecchi']",['madhouse']
500,Finished Airing,PG-13 - Teens 13 or older,8.24,288,16,2177917,100263,Naruto: Shippuuden,"['crunchyroll', 'netflix']","['action', 'adventure', 'fantasy']",['pierrot']
25,Finished Airing,R - 17+ (violence & profanity),8.7,49,17,2033724,101043,Code Geass: Hangyaku no Lelouch,"['crunchyroll', 'funimation']","['action', 'drama', 'sci-fi']",['sunrise']
12,Finished Airing,R - 17+ (violence & profanity),8.62,71,18,2029345,18850,Shingeki no Kyojin Season 3,"['crunchyroll', 'netflix']","['action', 'drama']",['witstudio']
1,Finished Airing,PG-13 - Teens 13 or older,8.95,15,19,2027446,78359,Koe no Katachi,['netflix'],['genre:drama'],['kyotoanimation']
25,Finished Airing,PG-13 - Teens 13 or older,8.1,443,20,2015316,53899,Toradora!,"['crunchyroll', 'funimation']","['drama', 'romance']",['j.c.staff']
22,Finished Airing,PG-13 - Teens 13 or older,8.66,59,21,1982520,80525,Shigatsu wa Kimi no Uso,"['crunchyroll', 'funimation']","['drama', 'romance']",['a-1pictures']
12,Finished Airing,PG-13 - Teens 13 or older,7.96,612,22,1972399,31527,Noragami,"['crunchyroll', 'funimation']","['action', 'fantasy']",['bones']
25,Finished Airing,R - 17+ (violence & profanity),8.24,291,23,1968351,62125,Re:Zero kara Hajimeru Isekai Seikatsu,"['crunchyroll', 'netflix']","['drama', 'fantasy', 'suspense']",['whitefox']
24,Finished Airing,R - 17+ (violence & profanity),8.67,52,24,1965267,73477,Jujutsu Kaisen,"['crunchyroll', 'funimation']","['action', 'fantasy']",['mappa']
Unknown,Currently Airing,PG-13 - Teens 13 or older,8.66,58,25,1954404,175917,One Piece,"['crunchyroll', 'funimation']","['action', 'adventure', 'fantasy']",['toeianimation']
25,Finished Airing,PG-13 - Teens 13 or older,8.07,476,26,1944228,12718,Boku no Hero Academia 3rd Season,"['crunchyroll', 'netflix']",['genre:action'],['bones']
13,Finished Airing,PG-13 - Teens 13 or older,8.07,475,27,1930344,46577,Angel Beats!,"['crunchyroll', 'funimation']","['drama', 'supernatural']",['p.a.works']
10,Finished Airing,R - 17+ (violence & profanity),9.07,5,28,1911557,52386,Shingeki no Kyojin Season 3 Part 2,"['crunchyroll', 'netflix']","['action', 'drama']",['witstudio']
24,Finished Airing,R - 17+ (violence & profanity),7.47,1762,29,1884163,26791,Akame ga Kill!,"['crunchyroll', 'hidive']","['action', 'fantasy']",['whitefox']
24,Finished Airing,PG-13 - Teens 13 or older,7.7,1104,30,1872556,18935,Nanatsu no Taizai,['netflix'],"['action', 'adventure', 'fantasy']",['a-1pictures']
12,Finished Airing,R - 17+ (violence & profanity),8.31,228,31,1872181,44389,Boku dake ga Inai Machi,"['crunchyroll', 'funimation']",['genre:mystery'],['a-1pictures']
26,Finished Airing,R+ - Mild Nudity,7.44,1865,32,1863200,29493,Mirai Nikki (TV),"['crunchyroll', 'funimation']","['action', 'supernatural', 'suspense']",['asread.']
24,Finished Airing,PG-13 - Teens 13 or older,6.7,5334,33,1808440,9058,Sword Art Online II,"['crunchyroll', 'netflix']","['action', 'adventure', 'fantasy', 'romance']",['a-1pictures']
22,Finished Airing,PG-13 - Teens 13 or older,8.1,434,34,1784589,27377,Ansatsu Kyoushitsu,"['crunchyroll', 'funimation']","['action', 'comedy']",['lerche']
12,Finished Airing,PG-13 - Teens 13 or older,8.48,125,35,1784438,40405,Mob Psycho 100,"['crunchyroll', 'funimation']","['action', 'comedy', 'supernatural']",['bones']
25,Finished Airing,PG-13 - Teens 13 or older,7.51,1653,36,1769129,16231,Ao no Exorcist,"['crunchyroll', 'funimation']","['action', 'fantasy']",['a-1pictures']
