Episodes,Status,Studios,Genres,Ratings,Scores,Rank,Popularity,Members,Favorites,titles,SP
25,Finished Airing,Wit Studio,"Action, Drama",R - 17+ (violence & profanity),8.53,100,1,3510395,155195,Shingeki no Kyojin,"['Crunchyroll', 'Funimation']"
37,Finished Airing,Madhouse,"Supernatural, Suspense",R - 17+ (violence & profanity),8.62,73,2,3491046,159080,Death Note,"['Crunchyroll', 'Funimation']"
64,Finished Airing,Bones,"Action, Adventure, Drama, Fantasy",R - 17+ (violence & profanity),9.13,1,3,2966462,206903,Fullmetal Alchemist: Brotherhood,"['Crunchyroll', 'Funimation']"
12,Finished Airing,Madhouse,"Action, Comedy",R - 17+ (violence & profanity),8.51,110,4,2868306,59353,One Punch Man,"['Crunchyroll', 'Funimation']"
25,Finished Airing,A-1 Pictures,"Action, Adventure, Fantasy, Romance",PG-13 - Teens 13 or older,7.2,3018,5,2805024,64861,Sword Art Online,"['Crunchyroll', 'Funimation']"
13,Finished Airing,Bones,Genre: Action,PG-13 - Teens 13 or older,7.92,670,6,2698039,52063,Boku no Hero Academia,"['Crunchyroll', 'Funimation']"
12,Finished Airing,Pierrot,"Action, Fantasy, Horror",R - 17+ (violence & profanity),7.79,912,7,2547096,47252,Tokyo Ghoul,"['Crunchyroll', 'Funimation']"
220,Finished Airing,Pierrot,"Action, Adventure, Fantasy",PG-13 - Teens 13 or older,7.97,605,8,2546671,71501,Naruto,"['Crunchyroll', 'Funimation']"
26,Finished Airing,ufotable,"Action, Fantasy",R - 17+ (violence & profanity),8.54,96,9,2534543,82761,Kimetsu no Yaiba,"['Crunchyroll', 'Funimation']"
148,Finished Airing,Madhouse,"Action, Adventure, Fantasy",PG-13 - Teens 13 or older,9.04,9,10,2451264,187689,Hunter x Hunter (2011),"['Crunchyroll', 'Netflix']"
1,Finished Airing,CoMix Wave Films,"Drama, Supernatural",PG-13 - Teens 13 or older,8.86,22,11,2419574,83196,Kimi no Na wa.,['Netflix']
12,Finished Airing,Wit Studio,"Action, Drama",R - 17+ (violence & profanity),8.5,118,12,2384824,20076,Shingeki no Kyojin Season 2,"['Crunchyroll', 'Netflix']"
24,Finished Airing,White Fox,"Drama, Sci-Fi, Suspense",PG-13 - Teens 13 or older,9.08,4,13,2291234,174629,Steins;Gate,"['Crunchyroll', 'Funimation']"
25,Finished Airing,Bones,Genre: Action,PG-13 - Teens 13 or older,8.14,387,14,2260075,17138,Boku no Hero Academia 2nd Season,"['Crunchyroll', 'Netflix']"
12,Finished Airing,Madhouse,"Comedy, Fantasy, Ecchi",PG-13 - Teens 13 or older,8.1,440,15,2194196,46605,No Game No Life,"['HIDIVE', 'Netflix']"
500,Finished Airing,Pierrot,"Action, Adventure, Fantasy",PG-13 - Teens 13 or older,8.24,288,16,2177917,100263,Naruto: Shippuuden,"['Crunchyroll', 'Netflix']"
25,Finished Airing,Sunrise,"Action, Drama, Sci-Fi",R - 17+ (violence & profanity),8.7,49,17,2033724,101043,Code Geass: Hangyaku no Lelouch,"['Crunchyroll', 'Funimation']"
12,Finished Airing,Wit Studio,"Action, Drama",R - 17+ (violence & profanity),8.62,71,18,2029345,18850,Shingeki no Kyojin Season 3,"['Crunchyroll', 'Netflix']"
1,Finished Airing,Kyoto Animation,Genre: Drama,PG-13 - Teens 13 or older,8.95,15,19,2027446,78359,Koe no Katachi,['Netflix']
25,Finished Airing,J.C.Staff,"Drama, Romance",PG-13 - Teens 13 or older,8.1,443,20,2015316,53899,Toradora!,"['Crunchyroll', 'Funimation']"
22,Finished Airing,A-1 Pictures,"Drama, Romance",PG-13 - Teens 13 or older,8.66,59,21,1982520,80525,Shigatsu wa Kimi no Uso,"['Crunchyroll', 'Funimation']"
12,Finished Airing,Bones,"Action, Fantasy",PG-13 - Teens 13 or older,7.96,612,22,1972399,31527,Noragami,"['Crunchyroll', 'Funimation']"
25,Finished Airing,White Fox,"Drama, Fantasy, Suspense",R - 17+ (violence & profanity),8.24,291,23,1968351,62125,Re:Zero kara Hajimeru Isekai Seikatsu,"['Crunchyroll', 'Netflix']"
24,Finished Airing,MAPPA,"Action, Fantasy",R - 17+ (violence & profanity),8.67,52,24,1965267,73477,Jujutsu Kaisen,"['Crunchyroll', 'Funimation']"
Unknown,Currently Airing,Toei Animation,"Action, Adventure, Fantasy",PG-13 - Teens 13 or older,8.66,58,25,1954404,175917,One Piece,"['Crunchyroll', 'Funimation']"
25,Finished Airing,Bones,Genre: Action,PG-13 - Teens 13 or older,8.07,476,26,1944228,12718,Boku no Hero Academia 3rd Season,"['Crunchyroll', 'Netflix']"
13,Finished Airing,P.A. Works,"Drama, Supernatural",PG-13 - Teens 13 or older,8.07,475,27,1930344,46577,Angel Beats!,"['Crunchyroll', 'Funimation']"
10,Finished Airing,Wit Studio,"Action, Drama",R - 17+ (violence & profanity),9.07,5,28,1911557,52386,Shingeki no Kyojin Season 3 Part 2,"['Crunchyroll', 'Netflix']"
24,Finished Airing,White Fox,"Action, Fantasy",R - 17+ (violence & profanity),7.47,1762,29,1884163,26791,Akame ga Kill!,"['Crunchyroll', 'HIDIVE']"
24,Finished Airing,A-1 Pictures,"Action, Adventure, Fantasy",PG-13 - Teens 13 or older,7.7,1104,30,1872556,18935,Nanatsu no Taizai,['Netflix']
12,Finished Airing,A-1 Pictures,Genre: Mystery,R - 17+ (violence & profanity),8.31,228,31,1872181,44389,Boku dake ga Inai Machi,"['Crunchyroll', 'Funimation']"
26,Finished Airing,asread.,"Action, Supernatural, Suspense",R+ - Mild Nudity,7.44,1865,32,1863200,29493,Mirai Nikki (TV),"['Crunchyroll', 'Funimation']"
24,Finished Airing,A-1 Pictures,"Action, Adventure, Fantasy, Romance",PG-13 - Teens 13 or older,6.7,5334,33,1808440,9058,Sword Art Online II,"['Crunchyroll', 'Netflix']"
22,Finished Airing,Lerche,"Action, Comedy",PG-13 - Teens 13 or older,8.1,434,34,1784589,27377,Ansatsu Kyoushitsu,"['Crunchyroll', 'Funimation']"
12,Finished Airing,Bones,"Action, Comedy, Supernatural",PG-13 - Teens 13 or older,8.48,125,35,1784438,40405,Mob Psycho 100,"['Crunchyroll', 'Funimation']"
25,Finished Airing,A-1 Pictures,"Action, Fantasy",PG-13 - Teens 13 or older,7.51,1653,36,1769129,16231,Ao no Exorcist,"['Crunchyroll', 'Funimation']"
25,Finished Airing,Production I.G,Genre: Sports,PG-13 - Teens 13 or older,8.45,140,37,1743281,67754,Haikyuu!!,"['Crunchyroll', 'Netflix']"
10,Finished Airing,Studio Deen,"Adventure, Comedy, Fantasy",PG-13 - Teens 13 or older,8.12,414,38,1740616,41638,Kono Subarashii Sekai ni Shukufuku wo!,"['Crunchyroll', 'Netflix']"
12,Finished Airing,CloverWorks,"Mystery, Sci-Fi, Suspense",R - 17+ (violence & profanity),8.53,102,39,1738016,31436,Yakusoku no Neverland,"['Crunchyroll', 'Funimation']"
366,Finished Airing,Pierrot,"Action, Adventure, Fantasy",PG-13 - Teens 13 or older,7.87,752,40,1701568,61973,Bleach,"['Crunchyroll', 'Funimation']"
