id,Title,Score,Days,Mean Score,Watching,Completed,On Hold,Dropped,Plan to Watch,Total Entries,Rewatched,Episodes
0,Shingeki no Kyojin,8.0,88.8,8.89,43.0,252.0,0.0,0.0,0.0,295.0,0.0,5274.0
1,Shingeki no Kyojin,8.0,13.9,8.8,0.0,45.0,0.0,0.0,6.0,51.0,0.0,810.0
2,Shingeki no Kyojin,8.0,5.2,8.22,5.0,21.0,8.0,1.0,32.0,67.0,0.0,287.0
3,Shingeki no Kyojin,8.0,0.0,9.23,13.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
4,Shingeki no Kyojin,8.0,8.0,8.26,4.0,26.0,0.0,0.0,0.0,30.0,0.0,485.0
5,Shingeki no Kyojin,8.0,32.5,6.81,0.0,112.0,0.0,0.0,0.0,112.0,0.0,1949.0
6,Shingeki no Kyojin,8.0,211.6,6.3,8.0,412.0,0.0,4.0,67.0,491.0,458.0,12666.0
7,Shingeki no Kyojin,8.0,13.1,8.89,0.0,9.0,0.0,0.0,0.0,9.0,0.0,806.0
8,Shingeki no Kyojin,8.0,56.9,7.29,6.0,123.0,9.0,0.0,35.0,173.0,0.0,3401.0
9,Shingeki no Kyojin,8.0,40.6,7.86,2.0,24.0,3.0,2.0,4.0,35.0,0.0,2452.0
10,Shingeki no Kyojin,8.0,12.1,9.93,1.0,46.0,0.0,0.0,13.0,60.0,0.0,736.0
11,Shingeki no Kyojin,8.0,8.6,7.6,5.0,41.0,0.0,1.0,19.0,66.0,0.0,474.0
12,Shingeki no Kyojin,8.0,9.1,6.76,1.0,16.0,1.0,3.0,9.0,30.0,0.0,529.0
13,Shingeki no Kyojin,8.0,37.7,9.4,1.0,132.0,3.0,1.0,10.0,147.0,0.0,2243.0
14,Shingeki no Kyojin,8.0,7.1,8.33,0.0,19.0,3.0,2.0,17.0,41.0,0.0,484.0
15,Shingeki no Kyojin,8.0,50.7,7.35,2.0,88.0,0.0,0.0,17.0,107.0,0.0,2997.0
16,Shingeki no Kyojin,8.0,12.2,8.75,0.0,4.0,0.0,0.0,0.0,4.0,0.0,757.0
17,Shingeki no Kyojin,8.0,132.5,7.15,7.0,148.0,4.0,4.0,0.0,163.0,21.0,8009.0
18,Shingeki no Kyojin,8.0,53.1,7.63,4.0,105.0,0.0,2.0,7.0,118.0,0.0,3202.0
