,anime_stat
0,https://myanimelist.net/anime/16498/Shingeki_no_Kyojin/stats
1,https://myanimelist.net/anime/1535/Death_Note/stats
2,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood/stats
3,https://myanimelist.net/anime/30276/One_Punch_Man/stats
4,https://myanimelist.net/anime/11757/Sword_Art_Online/stats
5,https://myanimelist.net/anime/31964/Boku_no_Hero_Academia/stats
6,https://myanimelist.net/anime/22319/Tokyo_Ghoul/stats
7,https://myanimelist.net/anime/20/Naruto/stats
8,https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba/stats
9,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011/stats
10,https://myanimelist.net/anime/32281/Kimi_no_Na_wa/stats
11,https://myanimelist.net/anime/25777/Shingeki_no_Kyojin_Season_2/stats
12,https://myanimelist.net/anime/9253/Steins_Gate/stats
13,https://myanimelist.net/anime/33486/Boku_no_Hero_Academia_2nd_Season/stats
14,https://myanimelist.net/anime/19815/No_Game_No_Life/stats
15,https://myanimelist.net/anime/1735/Naruto__Shippuuden/stats
16,https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch/stats
17,https://myanimelist.net/anime/35760/Shingeki_no_Kyojin_Season_3/stats
18,https://myanimelist.net/anime/28851/Koe_no_Katachi/stats
19,https://myanimelist.net/anime/4224/Toradora/stats
20,https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso/stats
21,https://myanimelist.net/anime/20507/Noragami/stats
22,https://myanimelist.net/anime/31240/Re_Zero_kara_Hajimeru_Isekai_Seikatsu/stats
23,https://myanimelist.net/anime/40748/Jujutsu_Kaisen/stats
24,https://myanimelist.net/anime/21/One_Piece/stats
25,https://myanimelist.net/anime/36456/Boku_no_Hero_Academia_3rd_Season/stats
26,https://myanimelist.net/anime/6547/Angel_Beats/stats
27,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2/stats
28,https://myanimelist.net/anime/22199/Akame_ga_Kill/stats
29,https://myanimelist.net/anime/23755/Nanatsu_no_Taizai/stats
30,https://myanimelist.net/anime/31043/Boku_dake_ga_Inai_Machi/stats
31,https://myanimelist.net/anime/10620/Mirai_Nikki_TV/stats
32,https://myanimelist.net/anime/21881/Sword_Art_Online_II/stats
33,https://myanimelist.net/anime/24833/Ansatsu_Kyoushitsu/stats
34,https://myanimelist.net/anime/32182/Mob_Psycho_100/stats
35,https://myanimelist.net/anime/9919/Ao_no_Exorcist/stats
36,https://myanimelist.net/anime/20583/Haikyuu/stats
37,https://myanimelist.net/anime/30831/Kono_Subarashii_Sekai_ni_Shukufuku_wo/stats
38,https://myanimelist.net/anime/37779/Yakusoku_no_Neverland/stats
39,https://myanimelist.net/anime/269/Bleach/stats
40,https://myanimelist.net/anime/22535/Kiseijuu__Sei_no_Kakuritsu/stats
41,https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season/stats
42,https://myanimelist.net/anime/1/Cowboy_Bebop/stats
43,https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi/stats
44,https://myanimelist.net/anime/27899/Tokyo_Ghoul_%E2%88%9AA/stats
45,https://myanimelist.net/anime/6702/Fairy_Tail/stats
46,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2/stats
47,https://myanimelist.net/anime/30/Neon_Genesis_Evangelion/stats
48,https://myanimelist.net/anime/28223/Death_Parade/stats
49,https://myanimelist.net/anime/18679/Kill_la_Kill/stats
50,https://myanimelist.net/anime/33352/Violet_Evergarden/stats
51,https://myanimelist.net/anime/11111/Another/stats
52,https://myanimelist.net/anime/37450/Seishun_Buta_Yarou_wa_Bunny_Girl_Senpai_no_Yume_wo_Minai/stats
53,https://myanimelist.net/anime/28171/Shokugeki_no_Souma/stats
54,https://myanimelist.net/anime/38408/Boku_no_Hero_Academia_4th_Season/stats
55,https://myanimelist.net/anime/3588/Soul_Eater/stats
56,https://myanimelist.net/anime/13601/Psycho-Pass/stats
57,https://myanimelist.net/anime/38691/Dr_Stone/stats
58,https://myanimelist.net/anime/37999/Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen/stats
59,https://myanimelist.net/anime/9989/Ano_Hi_Mita_Hana_no_Namae_wo_Bokutachi_wa_Mada_Shiranai/stats
60,https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann/stats
61,https://myanimelist.net/anime/34134/One_Punch_Man_2nd_Season/stats
62,https://myanimelist.net/anime/35849/Darling_in_the_FranXX/stats
63,https://myanimelist.net/anime/14719/JoJo_no_Kimyou_na_Bouken_TV/stats
64,https://myanimelist.net/anime/28999/Charlotte/stats
65,https://myanimelist.net/anime/15809/Hataraku_Maou-sama/stats
66,https://myanimelist.net/anime/226/Elfen_Lied/stats
67,https://myanimelist.net/anime/34572/Black_Clover/stats
68,https://myanimelist.net/anime/29803/Overlord/stats
69,https://myanimelist.net/anime/28121/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka/stats
70,https://myanimelist.net/anime/35790/Tate_no_Yuusha_no_Nariagari/stats
71,https://myanimelist.net/anime/10087/Fate_Zero/stats
72,https://myanimelist.net/anime/8074/Highschool_of_the_Dead/stats
73,https://myanimelist.net/anime/121/Fullmetal_Alchemist/stats
74,https://myanimelist.net/anime/32937/Kono_Subarashii_Sekai_ni_Shukufuku_wo_2/stats
75,https://myanimelist.net/anime/30503/Noragami_Aragoto/stats
76,https://myanimelist.net/anime/2167/Clannad/stats
77,https://myanimelist.net/anime/34933/Kakegurui/stats
78,https://myanimelist.net/anime/6746/Durarara/stats
79,https://myanimelist.net/anime/5081/Bakemonogatari/stats
80,https://myanimelist.net/anime/11617/High_School_DxD/stats
81,https://myanimelist.net/anime/14813/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru/stats
82,https://myanimelist.net/anime/37510/Mob_Psycho_100_II/stats
83,https://myanimelist.net/anime/28891/Haikyuu_Second_Season/stats
84,https://myanimelist.net/anime/30654/Ansatsu_Kyoushitsu_2nd_Season/stats
85,https://myanimelist.net/anime/12189/Hyouka/stats
86,https://myanimelist.net/anime/14741/Chuunibyou_demo_Koi_ga_Shitai/stats
87,https://myanimelist.net/anime/40456/Kimetsu_no_Yaiba_Movie__Mugen_Ressha-hen/stats
88,https://myanimelist.net/anime/37430/Tensei_shitara_Slime_Datta_Ken/stats
89,https://myanimelist.net/anime/26243/Owari_no_Seraph/stats
90,https://myanimelist.net/anime/34599/Made_in_Abyss/stats
91,https://myanimelist.net/anime/31478/Bungou_Stray_Dogs/stats
92,https://myanimelist.net/anime/9756/Mahou_Shoujo_Madoka%E2%98%85Magica/stats
93,https://myanimelist.net/anime/431/Howl_no_Ugoku_Shiro/stats
94,https://myanimelist.net/anime/37521/Vinland_Saga/stats
95,https://myanimelist.net/anime/13759/Sakura-sou_no_Pet_na_Kanojo/stats
96,https://myanimelist.net/anime/6880/Deadman_Wonderland/stats
97,https://myanimelist.net/anime/7054/Kaichou_wa_Maid-sama/stats
98,https://myanimelist.net/anime/40591/Kaguya-sama_wa_Kokurasetai_Tensai-tachi_no_Renai_Zunousen/stats
99,https://myanimelist.net/anime/10793/Guilty_Crown/stats
100,https://myanimelist.net/anime/38671/Enen_no_Shouboutai/stats
101,https://myanimelist.net/anime/205/Samurai_Champloo/stats
102,https://myanimelist.net/anime/164/Mononoke_Hime/stats
103,https://myanimelist.net/anime/813/Dragon_Ball_Z/stats
104,https://myanimelist.net/anime/33206/Kobayashi-san_Chi_no_Maid_Dragon/stats
105,https://myanimelist.net/anime/4181/Clannad__After_Story/stats
106,https://myanimelist.net/anime/4898/Kuroshitsuji/stats
107,https://myanimelist.net/anime/11771/Kuroko_no_Basket/stats
108,https://myanimelist.net/anime/42897/Horimiya/stats
109,https://myanimelist.net/anime/18897/Nisekoi/stats
110,https://myanimelist.net/anime/18153/Kyoukai_no_Kanata/stats
111,https://myanimelist.net/anime/32935/Haikyuu__Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou/stats
112,https://myanimelist.net/anime/20899/JoJo_no_Kimyou_na_Bouken_Part_3__Stardust_Crusaders/stats
113,https://myanimelist.net/anime/23283/Zankyou_no_Terror/stats
114,https://myanimelist.net/anime/37520/Dororo/stats
115,https://myanimelist.net/anime/32282/Shokugeki_no_Souma__Ni_no_Sara/stats
116,https://myanimelist.net/anime/36511/Tokyo_Ghoul_re/stats
117,https://myanimelist.net/anime/17265/Log_Horizon/stats
118,https://myanimelist.net/anime/853/Ouran_Koukou_Host_Club/stats
119,https://myanimelist.net/anime/11741/Fate_Zero_2nd_Season/stats
120,https://myanimelist.net/anime/34577/Nanatsu_no_Taizai__Imashime_no_Fukkatsu/stats
121,https://myanimelist.net/anime/50265/Spy_x_Family/stats
122,https://myanimelist.net/anime/42249/Tokyo_Revengers/stats
123,https://myanimelist.net/anime/35507/Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e/stats
124,https://myanimelist.net/anime/35120/Devilman__Crybaby/stats
125,https://myanimelist.net/anime/39535/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu/stats
126,https://myanimelist.net/anime/14227/Tonari_no_Kaibutsu-kun/stats
127,https://myanimelist.net/anime/47778/Kimetsu_no_Yaiba__Yuukaku-hen/stats
128,https://myanimelist.net/anime/37349/Goblin_Slayer/stats
129,https://myanimelist.net/anime/22297/Fate_stay_night__Unlimited_Blade_Works/stats
130,https://myanimelist.net/anime/31933/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai/stats
131,https://myanimelist.net/anime/5680/K-On/stats
132,https://myanimelist.net/anime/20785/Mahouka_Koukou_no_Rettousei/stats
133,https://myanimelist.net/anime/26055/JoJo_no_Kimyou_na_Bouken_Part_3__Stardust_Crusaders_2nd_Season/stats
134,https://myanimelist.net/anime/918/Gintama/stats
135,https://myanimelist.net/anime/39587/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season/stats
136,https://myanimelist.net/anime/14513/Magi__The_Labyrinth_of_Magic/stats
137,https://myanimelist.net/anime/23847/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru_Zoku/stats
138,https://myanimelist.net/anime/33255/Saiki_Kusuo_no_%CE%A8-nan/stats
139,https://myanimelist.net/anime/41587/Boku_no_Hero_Academia_5th_Season/stats
140,https://myanimelist.net/anime/523/Tonari_no_Totoro/stats
141,https://myanimelist.net/anime/15583/Date_A_Live/stats
